Episode 149/1000 - Epsilon: 0.0372, Overall Total Reward: 575
Episode 150/1000 - Epsilon: 0.0365, Overall Total Reward: 730
Episode 151/1000 - Epsilon: 0.0360, Overall Total Reward: 630
Episode 152/1000 - Epsilon: 0.0356, Overall Total Reward: 460
Episode 153/1000 - Epsilon: 0.0351, Overall Total Reward: 635
Episode 154/1000 - Epsilon: 0.0341, Overall Total Reward: 1035
Episode 155/1000 - Epsilon: 0.0331, Overall Total Reward: 1130
Episode 156/1000 - Epsilon: 0.0326, Overall Total Reward: 585
Episode 157/1000 - Epsilon: 0.0312, Overall Total Reward: 1470
Episode 158/1000 - Epsilon: 0.0307, Overall Total Reward: 635
Episode 159/1000 - Epsilon: 0.0291, Overall Total Reward: 1760
Episode 160/1000 - Epsilon: 0.0288, Overall Total Reward: 600
Episode 161/1000 - Epsilon: 0.0284, Overall Total Reward: 640
Episode 162/1000 - Epsilon: 0.0278, Overall Total Reward: 800
Episode 163/1000 - Epsilon: 0.0273, Overall Total Reward: 720
Episode 164/1000 - Epsilon: 0.0266, Overall Total Reward: 945
Episode 165/1000 - Epsilon: 0.0257, Overall Total Reward: 1290
Episode 166/1000 - Epsilon: 0.0248, Overall Total Reward: 1330
Episode 167/1000 - Epsilon: 0.0245, Overall Total Reward: 530
Episode 168/1000 - Epsilon: 0.0242, Overall Total Reward: 545
Episode 169/1000 - Epsilon: 0.0238, Overall Total Reward: 595
Episode 170/1000 - Epsilon: 0.0232, Overall Total Reward: 980
Episode 171/1000 - Epsilon: 0.0227, Overall Total Reward: 820
Episode 172/1000 - Epsilon: 0.0224, Overall Total Reward: 565
Episode 173/1000 - Epsilon: 0.0220, Overall Total Reward: 685
Episode 174/1000 - Epsilon: 0.0216, Overall Total Reward: 830
Episode 175/1000 - Epsilon: 0.0214, Overall Total Reward: 525
Episode 176/1000 - Epsilon: 0.0209, Overall Total Reward: 815
Episode 177/1000 - Epsilon: 0.0204, Overall Total Reward: 1020
Episode 178/1000 - Epsilon: 0.0199, Overall Total Reward: 945
Episode 179/1000 - Epsilon: 0.0194, Overall Total Reward: 960
Episode 180/1000 - Epsilon: 0.0190, Overall Total Reward: 735
Episode 181/1000 - Epsilon: 0.0186, Overall Total Reward: 815
Episode 182/1000 - Epsilon: 0.0184, Overall Total Reward: 550
Episode 183/1000 - Epsilon: 0.0181, Overall Total Reward: 725
Episode 184/1000 - Epsilon: 0.0178, Overall Total Reward: 665
Episode 185/1000 - Epsilon: 0.0175, Overall Total Reward: 745
Episode 186/1000 - Epsilon: 0.0173, Overall Total Reward: 580
Episode 187/1000 - Epsilon: 0.0171, Overall Total Reward: 615
Episode 188/1000 - Epsilon: 0.0168, Overall Total Reward: 645
Episode 189/1000 - Epsilon: 0.0166, Overall Total Reward: 520
Episode 190/1000 - Epsilon: 0.0164, Overall Total Reward: 500
Episode 191/1000 - Epsilon: 0.0161, Overall Total Reward: 740
Episode 192/1000 - Epsilon: 0.0159, Overall Total Reward: 755
Episode 193/1000 - Epsilon: 0.0153, Overall Total Reward: 1305
Episode 194/1000 - Epsilon: 0.0148, Overall Total Reward: 1125
Episode 195/1000 - Epsilon: 0.0146, Overall Total Reward: 560
Episode 196/1000 - Epsilon: 0.0144, Overall Total Reward: 540
Episode 197/1000 - Epsilon: 0.0142, Overall Total Reward: 825
Episode 198/1000 - Epsilon: 0.0140, Overall Total Reward: 595
Episode 199/1000 - Epsilon: 0.0137, Overall Total Reward: 815
Episode 200/1000 - Epsilon: 0.0135, Overall Total Reward: 510
Episode 201/1000 - Epsilon: 0.0133, Overall Total Reward: 815
Episode 202/1000 - Epsilon: 0.0130, Overall Total Reward: 830
Episode 203/1000 - Epsilon: 0.0129, Overall Total Reward: 510
Episode 204/1000 - Epsilon: 0.0126, Overall Total Reward: 715
Episode 205/1000 - Epsilon: 0.0124, Overall Total Reward: 615
Episode 206/1000 - Epsilon: 0.0121, Overall Total Reward: 960
Episode 207/1000 - Epsilon: 0.0118, Overall Total Reward: 1010
Episode 208/1000 - Epsilon: 0.0117, Overall Total Reward: 560
Episode 209/1000 - Epsilon: 0.0114, Overall Total Reward: 1000
Episode 210/1000 - Epsilon: 0.0112, Overall Total Reward: 680
Episode 211/1000 - Epsilon: 0.0111, Overall Total Reward: 485
Episode 212/1000 - Epsilon: 0.0108, Overall Total Reward: 795
Episode 213/1000 - Epsilon: 0.0102, Overall Total Reward: 1945
Episode 214/1000 - Epsilon: 0.0100, Overall Total Reward: 920
Episode 215/1000 - Epsilon: 0.0100, Overall Total Reward: 570
Episode 216/1000 - Epsilon: 0.0100, Overall Total Reward: 545
Episode 217/1000 - Epsilon: 0.0100, Overall Total Reward: 550
Episode 218/1000 - Epsilon: 0.0100, Overall Total Reward: 575
Episode 219/1000 - Epsilon: 0.0100, Overall Total Reward: 895
Episode 220/1000 - Epsilon: 0.0100, Overall Total Reward: 1685
Episode 221/1000 - Epsilon: 0.0100, Overall Total Reward: 690
Episode 222/1000 - Epsilon: 0.0100, Overall Total Reward: 800
Episode 223/1000 - Epsilon: 0.0100, Overall Total Reward: 1075
Episode 224/1000 - Epsilon: 0.0100, Overall Total Reward: 1320
Episode 225/1000 - Epsilon: 0.0100, Overall Total Reward: 950
Episode 226/1000 - Epsilon: 0.0100, Overall Total Reward: 1010
Episode 227/1000 - Epsilon: 0.0100, Overall Total Reward: 795
Episode 228/1000 - Epsilon: 0.0100, Overall Total Reward: 890
Episode 229/1000 - Epsilon: 0.0100, Overall Total Reward: 935
Episode 230/1000 - Epsilon: 0.0100, Overall Total Reward: 475
Episode 231/1000 - Epsilon: 0.0100, Overall Total Reward: 480
Episode 232/1000 - Epsilon: 0.0100, Overall Total Reward: 860
Episode 233/1000 - Epsilon: 0.0100, Overall Total Reward: 765
Episode 234/1000 - Epsilon: 0.0100, Overall Total Reward: 1070
Episode 235/1000 - Epsilon: 0.0100, Overall Total Reward: 655
Episode 236/1000 - Epsilon: 0.0100, Overall Total Reward: 710
Episode 237/1000 - Epsilon: 0.0100, Overall Total Reward: 1305
Episode 238/1000 - Epsilon: 0.0100, Overall Total Reward: 900
Episode 239/1000 - Epsilon: 0.0100, Overall Total Reward: 795
Episode 240/1000 - Epsilon: 0.0100, Overall Total Reward: 830
Episode 241/1000 - Epsilon: 0.0100, Overall Total Reward: 465
Episode 242/1000 - Epsilon: 0.0100, Overall Total Reward: 795
Episode 243/1000 - Epsilon: 0.0100, Overall Total Reward: 1225
Episode 244/1000 - Epsilon: 0.0100, Overall Total Reward: 490
Episode 245/1000 - Epsilon: 0.0100, Overall Total Reward: 995
Episode 246/1000 - Epsilon: 0.0100, Overall Total Reward: 625
Episode 247/1000 - Epsilon: 0.0100, Overall Total Reward: 855
Episode 248/1000 - Epsilon: 0.0100, Overall Total Reward: 1065
Episode 249/1000 - Epsilon: 0.0100, Overall Total Reward: 610
